question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
200,2011,AIPGMEE,Medicine,Endocrinology,bicarbonate depletion,Which of the following is true in ketoacidosis?,Decreased HCO3,Increased levels of lactate,Glucose level < 250 mg/dl,Normal anion gap,,Medicine,Endocrinology,"['Endocrinology', 'Acid base disorders']",llm,Diabetic ketoacidosis bicarbonate loss,other,['Biochemistry'],collegedunia,,,,,,,,
201,2011,AIPGMEE,Surgery,Pituitary Disorders,Craniopharyngioma post-op,"In a 7 year old child following surgery for craniopharyngioma, which hormone should be given first?",Growth hormone,Steroids,Prolactin,Thyroxine,,Surgery,Pituitary Disorders,"['Pituitary Disorders', 'Neurosurgery', 'Endocrinology']",llm,Craniopharyngioma post-op hormone replacement,management,['Pediatrics'],collegedunia,,,,,,,,
202,2011,AIPGMEE,Medicine,Thyroid Disorders,Primary hypothyroidism diagnosis,A patient presents with a high TSH and a low T4. What is the probable diagnosis?,Grave's disease,Hashimoto's disease,Pituitary failure,Hypothalamic failure,,Medicine,Thyroid Disorders,"['Thyroid Disorders', 'Endocrinology']",llm,High TSH low T4 diagnosis,diagnosis,[],collegedunia,,,,,,,,
203,2011,AIPGMEE,Medicine,Parathyroid Disorders,Secondary hyperparathyroidism investigation,"Blood examination of a patient revealed low serum calcium, elevated phosphorus and elevated PTH. Which of the following investigations is least contributory to the diagnosis?",Urine myoglobin,cAMP response to PTH,Vitamin D levels,Serum creatinine levels,,Medicine,Parathyroid Disorders,"['Parathyroid Disorders', 'Endocrinology', 'Nephrology']",llm,Low Ca high P high PTH investigation,investigation,['Biochemistry'],collegedunia,,,,,,,,
204,2011,AIPGMEE,Surgery,Renal,Solitary kidney renal mass management,A 40-year-old patient has a single kidney with an exophytic mass of 4 cm size at its lower pole. Which among the following is the best course of action?,Partial nephrectomy,Radical nephrectomy with dialysis,Radical nephrectomy with immediate renal transplant,Observation,,Surgery,Renal,"['Renal', 'Urology', 'Gynecologic Oncology']",llm,Solitary kidney renal mass management,management,['Radiology'],collegedunia,,,,,,,,
205,2011,AIPGMEE,Surgery,Burn Assessment,Palm rule for burn area,"In a 5-year-old child, the burn area corresponding to the size of the palm is equal to:",1%,5%,10%,20%,,Surgery,Burn Assessment,"['Burn Assessment', 'Burns & Plastic', 'Paediatric Surgery']",llm,Burn area estimation palm rule,other,['Pediatrics'],collegedunia,,,,,,,,
206,2011,AIPGMEE,Surgery,Prostate Surgery Complications,Post-TURP obstruction site,Most common site of obstruction after TURP (transurethral resection of the prostate) is:,Navicular fossa,Bulb of urethra,Prostatic membranous urethra,Bladder neck,,Surgery,Prostate Surgery Complications,"['Prostate Surgery Complications', 'Urology']",llm,Post-TURP urethral stricture site,anatomy_structure,['Anatomy'],collegedunia,,,,,,,,
207,2011,AIPGMEE,Surgery,Trauma,Stab wound evisceration management,"A young male was brought to the emergency department following a stab injury. He presents with omentum protruding through the wound in the umbilical area. His vitals are stable, heart rate 80 bpm and blood pressure 110/80. The next step in the management of the patient is:",FAST,Laparotomy,Wound exploration and repositioning of the omentum,CECT abdomen,,Surgery,Trauma,"['Trauma', 'Trauma', 'Emergency Surgery']",llm,Penetrating abdominal injury management,management,['Medicine'],collegedunia,,,,,,,,
208,2011,AIPGMEE,Microbiology,Infectious Diseases,Proteus renal calculi type,Renal calculi associated with Proteus infection is:,Uric acid,Triple phosphate,Calcium oxalate,Xanthine,,Microbiology,Infectious Diseases,"['Infectious Diseases', 'Bacteriology', 'Urology']",llm,Proteus infection struvite stones,diagnosis,"['Medicine', 'Pathology']",collegedunia,,,,,,,,
209,2011,AIPGMEE,Surgery,Biliary System Diseases,gallstone medical treatment contraindications,Which of the following is a contraindication for medical treatment in gallstones?,Radio-opaque stones,Radiolucent stones,Normal functioning gall bladder,Small stones,,Surgery,Biliary System Diseases,"['Biliary System Diseases', 'Gallstones', 'Biliary Tract']",llm,Gallstone medical treatment contraindications,management,['Medicine'],collegedunia,,,,,,,,
210,2011,AIPGMEE,Surgery,Organ Donation And Transplantation,non-transplantable cadaveric organs,Which organ obtained from a cadaver is not used for transplantation?,Blood vessel,Lung,Liver,Bladder,,Surgery,Organ Donation And Transplantation,"['Organ Donation and Transplantation', 'Organ Transplantation', 'Cadaveric Donation']",llm,Cadaveric organ non-transplantable,other,[],collegedunia,,,,,,,,
211,2011,AIPGMEE,Medicine,Abdominal Emergencies,peritonitis management initial,"A young sewage worker is brought to hospital with a history of exhaustion, abdominal pain, vomiting, fever and shock. His heart rate is 120/min, respiratory rate is 30/min and blood pressure is 100/70 mmHg. His clinical features are suggestive of peritonitis. What is the next step of management?",Immediately take the patient for laparotomy under general anaesthesia,Take the patient for diagnostic laparoscopy and then exploratory laparotomy,Insert an abdominal drain under local anaesthesia and then proceed to,"Resuscitate the patient with IV fluids and oxygen, then shift the patient for",,Medicine,Abdominal Emergencies,"['Abdominal Emergencies', 'Peritonitis', 'Shock']",llm,Peritonitis shock initial management,management,['Surgery'],collegedunia,,,,,,,,
212,2011,AIPGMEE,Medicine,Neurological Assessment,GCS calculation head injury,"A patient with head injury, on examination, revealed eye opening in response to pain, inappropriate words and pain localisation. Calculate the GCS.",10,8,12,14,,Medicine,Neurological Assessment,"['Neurological Assessment', 'Head Injury', 'GCS']",llm,Head injury GCS calculation,diagnosis,['Surgery'],collegedunia,,,,,,,,
213,2011,AIPGMEE,Pediatrics,Paediatric Genitourinary Disorders,phimosis treatment child,A 5 year old child presents with ballooning of the prepuce during micturition. Preputial adhesions are present. What is the best treatment for him?,Adhesiolysis and dilatation,Circumcision,Dorsal slit,Conservative management,,Pediatrics,Paediatric Genitourinary Disorders,"['Paediatric Genitourinary Disorders', 'Phimosis', 'Urology']",llm,Child phimosis preputial adhesions treatment,management,['Surgery'],collegedunia,,,,,,,,
214,2011,AIPGMEE,Surgery,Urological Procedures,TURP verumontanum injury prevention,"During TURP, the surgeon takes care to dissect above the verumontanum so as to prevent injury to which structure?",External urethral sphincter,Urethral crest,Prostatic utricle,Trigone of bladder,,Surgery,Urological Procedures,"['Urological Procedures', 'TURP', 'Prostate Anatomy']",llm,TURP verumontanum anatomical protection,anatomy_structure,['Anatomy'],collegedunia,,,,,,,,
215,2011,AIPGMEE,OBG,Gynecologic Oncology,stress incontinence treatment,What is the best treatment option for genuine stress incontinence?,Burch colposuspension,Kelly's procedure,Sling operation,Tension-free vaginal tape,,OBG,Gynecologic Oncology,"['Gynecologic Oncology', 'Stress Incontinence', 'Pelvic Floor Surgery']",llm,Genuine stress incontinence treatment,management,[],collegedunia,,,,,,,,
216,2011,AIPGMEE,Medicine,Liver Diseases,liver abscess management,A patient presents with fever and abdominal pain. Clinical examination reveals hepatomegaly extending 4 finger-breadths below the costal margin. USG and CT reveal a 4 cm x 5 cm x 4 cm hypoechoic and hypodense lesion 1 cm deep to the liver surface. Tests for hydatid disease are negative. The best course of action is?,Resection of the affected lobe,Multiple percutaneous aspirations and metronidazole injection in the right lobe,Metronidazole therapy only,Surgical drainage of the abscess and metronidazole therapy,,Medicine,Liver Diseases,"['Liver Diseases', 'Liver Abscess', 'Amoebic Liver Abscess']",llm,Amoebic liver abscess management,management,"['Surgery', 'Radiology']",collegedunia,,,,,,,,
217,2011,AIPGMEE,Surgery,Urological Oncology,Muscle-invasive bladder cancer,"A lady who presented with hematuria was, on evaluation, found to have stage 2 (muscle-invasive) transitional cell carcinoma of the bladder. Which of the following is true?",70% chance of requiring cystectomy in 5 years,Cystoscopic fulguration is required in case of recurrence,A 10 year history of beedi smoking is not a risk factor,There is no role of chemotherapy,,Surgery,Urological Oncology,"['Urological Oncology', 'Bladder Cancer']",llm,Bladder cancer management,management,[],collegedunia,,,,,,,,
218,2011,AIPGMEE,Medicine,Gastroenterology,Variceal bleeding treatment,Medical treatment for variceal bleeding is by which of the following?,Octreotide,Pantoprazole,Desmopressin,Somatotropin,,Medicine,Gastroenterology,"['Gastroenterology', 'Variceal Bleeding']",llm,Esophageal varices medical therapy,drug_of_choice,['Surgery'],collegedunia,,,,,,,,
219,2011,AIPGMEE,Surgery,Urological Symptoms,Recurrent hematuria investigation,"A 55 year old man presents with a history of 5 episodes of hematuria, each lasting about 4 to 5 days and associated with clots, over the past 5 years. What is the best investigation to arrive at a diagnosis?",Urine examination and microscopy,X-ray KUB,Abdominal USG,DTPA scan,,Surgery,Urological Symptoms,"['Urological Symptoms', 'Hematuria']",llm,Hematuria diagnostic approach,investigation,['Medicine'],collegedunia,,,,,,,,
220,2011,AIPGMEE,Surgery,Pancreatic Surgery,Chronic pancreatitis surgical treatment,"A 50 year old patient presents with a 2 year history of recurrent abdominal pain radiating to the back, relieved only by parenteral analgesics. This time the pain is severe and radiating to the back. The appropriate treatment procedure is?",Vagotomy with gastroduodenostomy,Vagotomy with antrectomy,Whipple procedure,Longitudinal pancreaticojejunostomy,,Surgery,Pancreatic Surgery,"['Pancreatic Surgery', 'Chronic Pancreatitis']",llm,Chronic pancreatitis surgical options,management,['Medicine'],collegedunia,,,,,,,,
221,2011,AIPGMEE,Surgery,Genetic Syndromes,Multiple sebaceous cysts syndromes,Multiple sebaceous cysts are seen in which of the following?,Gardner's syndrome,Turcot syndrome,Muir-Torre syndrome,Cowden syndrome,,Surgery,Genetic Syndromes,"['Genetic Syndromes', 'Cutaneous Manifestations']",llm,Gardner syndrome features,diagnosis,"['Dermatology', 'Medicine']",collegedunia,,,,,,,,
222,2011,AIPGMEE,Medicine,Pancreatic Diseases,Chronic pancreatitis diagnosis,"A patient presents with epigastric pain that radiates to the back and is relieved by food. He has a history of similar pain in the past for which he was taking analgesics, and in the past 5 years he was operated twice for duodenal ulcer. The pain before and after surgery was controlled with proton pump inhibitors. What is the probable diagnosis?",Gastric ulcer,Duodenal ulcer,Chronic pancreatitis,Atrophic gastritis,,Medicine,Pancreatic Diseases,"['Pancreatic Diseases', 'Gastroenterology', 'Abdominal Pain']",llm,Chronic pancreatitis clinical features,diagnosis,['Surgery'],collegedunia,,,,,,,,
223,2011,AIPGMEE,Medicine,Pancreatic Diseases,Gallstone pancreatitis diagnosis,"A patient has pain in the epigastrium that radiates to the back. The serum amylase is normal, and USG of the abdomen reveals a gall stone and a bulky pancreas. A CT scan was done, which clinched the diagnosis. The scenario is suggestive of which of the following?",Acute pancreatitis,Acute cholecystitis,Duodenal ulcer,Acute appendicitis,,Medicine,Pancreatic Diseases,"['Pancreatic Diseases', 'Gallstone Disease']",llm,Acute pancreatitis diagnosis,diagnosis,"['Radiology', 'Surgery']",collegedunia,,,,,,,,
224,2011,AIPGMEE,Pediatrics,Gastroenterology,Infant GERD symptoms,Earliest symptom of gastroesophageal reflux disease (GERD) that becomes pathological in an infant is?,Respiratory distress,Upper GI bleed,Regurgitation and vomiting,Food bolus obstruction,,Pediatrics,Gastroenterology,"['Gastroenterology', 'Neonatology', 'Gastroenterology']",llm,Infant GERD clinical presentation,diagnosis,[],collegedunia,,,,,,,,
225,2011,AIPGMEE,Pediatrics,Congenital Anomalies,Congenital diaphragmatic hernia prognosis,The most important prognostic factor in congenital diaphragmatic hernia is?,Pulmonary hypertension,Timing of surgery,Size of the defect,Gestational age at which the child was born,,Pediatrics,Congenital Anomalies,"['Congenital Anomalies', 'Neonatology', 'Paediatric Surgery']",llm,CDH prognostic factors,other,['Surgery'],collegedunia,,,,,,,,
226,2011,AIPGMEE,Pediatrics,Pulmonology,Bronchiolitis obliterans diagnosis,"A child presented with fever, mild breathlessness and non-productive cough. She was treated with a course of antibiotics and improved over 4 days, but later deteriorated again with fever and more breathlessness. Chest X-ray showed hyperlucency. Pulmonary function test was suggestive of obstructive airway disease. The probable diagnosis would be?",Bronchiolitis obliterans,Alveolar proteinosis,Post viral syndrome,Asthma,,Pediatrics,Pulmonology,"['Pulmonology', 'Pulmonology', 'Pulmonology']",llm,Child recurrent respiratory obstruction,diagnosis,['Radiology'],collegedunia,,,,,,,,
227,2011,AIPGMEE,Pediatrics,Neurocutaneous Syndromes,Neurofibromatosis associated tumors,Which among the following is the most common tumour associated with neurofibromatosis in a child?,Juvenile myelomonocytic leukemia,Acute lymphoblastic leukemia,Acute monocytic leukemia,Acute myeloid leukemia,,Pediatrics,Neurocutaneous Syndromes,"['Neurocutaneous Syndromes', 'Neurology', 'Genetics & Molecular Biology']",llm,NF1 common childhood tumor,other,[],collegedunia,,,,,,,,
228,2011,AIPGMEE,Pediatrics,Neonatal Seizures,Infant of diabetic mother seizures,A 3.8 kg baby of a diabetic mother developed seizures 16 hours after birth. The most probable cause is?,Hypoglycemia,Hypocalcemia,Birth asphyxia,Intraventricular hemorrhage,,Pediatrics,Neonatal Seizures,"['Neonatal Seizures', 'Neonatology', 'Endocrinology']",llm,IDM neonatal seizure cause,diagnosis,['OBG'],collegedunia,,,,,,,,
229,2011,AIPGMEE,Pediatrics,Infectious Diseases,Childhood meningoencephalitis causes,The most common cause of meningoencephalitis in children is?,Herpes simplex virus,Enterovirus,Mumps,Listeria,,Pediatrics,Infectious Diseases,"['Infectious Diseases', 'Neurology', 'Infectious Diseases']",llm,Common pediatric meningoencephalitis etiology,epidemiology,['Microbiology'],collegedunia,,,,,,,,
230,2011,AIPGMEE,Pediatrics,Premature Infant Management,Preterm infant feeding,A baby born at 33 weeks with a body weight of 1.5 kg should be started on?,Oral and IV fluids,Oral nasogastric tube feeding / alternate oral route,IV fluids and assessment,Total parenteral nutrition,,Pediatrics,Premature Infant Management,"['Premature Infant Management', 'Neonatology', 'Vitamins & Nutrition']",llm,Preterm baby initial feeding,management,[],collegedunia,,,,,,,,
231,2011,AIPGMEE,Orthopedics,Paediatric Hip Disorders,Child hip pain investigation,A 6 year old child presents with pain in the hip in the femoral triangle region and limitation of movements. X-ray does not reveal any abnormality. What is the next step?,USG,MRI,Aspiration,Traction,,Orthopedics,Paediatric Hip Disorders,"['Paediatric Hip Disorders', 'Fractures', 'Joints & Arthritis']",llm,Child hip pain normal X-ray,investigation,"['Pediatrics', 'Radiology']",collegedunia,,,,,,,,
232,2011,AIPGMEE,Surgery,Undescended Testis,Orchiopexy timing,The ideal age for surgery in unilateral undescended testis is?,6 months,12 months,24 months,36 months,,Surgery,Undescended Testis,"['Undescended Testis', 'Paediatric Surgery', 'Urology']",llm,Cryptorchidism surgery age,management,['Pediatrics'],collegedunia,,,,,,,,
